Date,Open,High,Low,Close,Volume,MA7,MA21,MA50,RSI,MACD,MACD_Signal,MACD_Hist,Day_of_Week,Month,Year
2015-11-22,326.9750061035156,327.010009765625,321.2590026855469,324.5360107421875,23439400,328.58128574916293,350.1451895577567,303.5084802246094,48.825104751916456,3.31609019412673,8.994811159635958,-5.678720965509228,6,11,2015
2015-11-23,324.3500061035156,325.1180114746094,321.2900085449219,323.0459899902344,27478900,327.4805690220424,348.32885596865697,305.20421997070315,48.277834990291296,2.386179414667197,7.673084810642206,-5.286905395975009,0,11,2015
2015-11-24,323.0140075683594,323.0580139160156,318.1180114746094,320.0459899902344,29362600,325.3308541434152,344.3588082449777,306.79747985839845,47.13234592829167,1.3911076710488146,6.416689382723528,-5.025581711674714,1,11,2015
2015-11-25,320.0450134277344,329.1340026855469,316.7699890136719,328.20599365234375,41666900,324.4188537597656,340.3894275483631,308.44033966064455,50.567968163251805,1.2465804413047294,5.382667594439768,-4.136087153135039,2,11,2015
2015-11-26,328.3030090332031,366.7569885253906,328.22900390625,352.6839904785156,106105000,328.2095685686384,338.78609357561385,310.6346395874023,59.144898175571285,3.071801527310356,4.920494381013886,-1.8486928537035299,3,11,2015
2015-11-27,351.8609924316406,363.5889892578125,347.8699951171875,358.0419921875,55179100,333.3552812848772,338.0038074311756,312.9493994140625,60.750256144644865,4.894230702221648,4.915241645255438,-0.02101094303379014,4,11,2015
2015-11-28,357.1409912109375,359.5360107421875,352.1719970703125,357.3810119628906,36816600,337.7058541434152,336.61804635184154,315.2183996582031,60.43476821093117,6.21355735180191,5.174904786564733,1.038652565237177,5,11,2015
2015-11-29,357.47198486328125,371.9389953613281,355.6659851074219,371.29400634765625,40409300,344.3855678013393,336.519284202939,317.74545989990236,64.60185006684915,8.286276559781356,5.797179141208058,2.489097418573298,6,11,2015
2015-11-30,371.43701171875,382.3630065917969,370.38299560546875,377.3210144042969,71701600,352.13914271763394,336.3794759114583,320.35088012695314,66.25965592469463,10.296558330553921,6.697054979077231,3.59950335147669,0,11,2015
2015-12-01,377.41400146484375,378.9309997558594,356.56298828125,362.4880065917969,60452200,358.20228794642856,337.601809547061,322.69448028564454,58.94322710480274,10.570965837363701,7.471837150734526,3.099128686629175,1,12,2015
2015-12-02,361.8450012207031,362.23199462890625,349.4649963378906,359.18701171875,54160500,362.6281476702009,339.8924284435454,324.8880606079102,57.4235874971812,10.402163400263817,8.057902400640383,2.344260999623433,2,12,2015
